W3;W4;W5;W7;W8;W9;W10;G1;V4;V5
1;1;1;1;1;1;1;1;1;1
0.991164941;0.995238973;0.995040858;0.99086763;0.991325726;0.991863255;0.993366443;0.98673859;0.991591466;0.996552658
0.981573803;0.984154787;0.984068391;0.977048156;0.978799606;0.978999436;0.979202778;0.973698116;0.984149259;0.980046747
0;0.964448193;0.97258679;0.966905356;0.969747179;0.968953872;0.966177153;0.963144249;0.976850855;0.968159797
0;0.953925537;0.953045852;0;0.95392731;0.955331495;0.954700825;0.959797963;0.969108099;0
0;0.958505225;0.94770816;0;0.951501182;0.952443738;0.952462357;0.958528789;0.964674493;0
0;0.944988618;0.940969232;0;0.942566543;0.943475427;0.943690756;0.955072866;0.960795478;0
0;0.940327253;0.934068597;0;0.934453784;0.935122234;0.935875415;0.950352438;0.955500102;0
0;0;0.936182371;0;0.929295187;0.932701712;0.933866293;0.947226068;0.950633933;0
0;0;0.93386518;0;0.930128872;0.932777551;0.933685975;0.94307241;0.947880891;0
0;0;0.930749912;0;0.928540574;0.930311191;0.930634649;0.938144259;0.945300777;0
0;0;0.92672155;0;0.924890286;0.926456285;0.926975045;0;0;0
0;0;0.923876144;0;0.921858554;0.923355294;0.924196963;0;0;0
0;0;0.921330282;0;0.919394045;0.920424573;0.920279775;0;0;0
0;0;0.916400064;0;0.913877902;0.915750118;0.916399279;0;0;0
